participant,correct_resp,resp,stim_interval,rt,vivid_report,correct,participant_hr,stim_hr,resp_hr,dur_hr,viv_hr
g,1.0,1.0,0.025,2.8992597910109907,3.0,1.0,0.54,0.75,0.45454545454545453,0.25,0.6296296296296297
g,2.0,1.0,0.425,3.0356874159770086,3.0,0.0,0.54,0.4,0.45454545454545453,0.0,0.6296296296296297
g,2.0,1.0,0.125,1.114609999989625,3.0,0.0,0.54,0.4,0.45454545454545453,0.3333333333333333,0.6296296296296297
g,2.0,1.0,0.1,0.6423879989888519,2.0,0.0,0.54,0.4,0.45454545454545453,0.5,0.46153846153846156
g,2.0,1.0,0.025,3.237857666972559,1.0,0.0,0.54,0.4,0.45454545454545453,0.25,0.2
g,2.0,2.0,0.35,1.0907696670037694,2.0,1.0,0.54,0.4,0.7058823529411765,1.0,0.46153846153846156
g,2.0,1.0,0.125,8.43367954104906,1.0,0.0,0.54,0.4,0.45454545454545453,0.3333333333333333,0.2
g,2.0,1.0,0.225,1.557291915989481,3.0,0.0,0.54,0.4,0.45454545454545453,0.0,0.6296296296296297
g,1.0,1.0,0.2,1.1240719999768771,2.0,1.0,0.54,0.75,0.45454545454545453,0.3333333333333333,0.46153846153846156
g,2.0,1.0,0.05,1.1061900409986265,1.0,0.0,0.54,0.4,0.45454545454545453,0.6,0.2
g,1.0,2.0,0.275,2.534655041003134,2.0,0.0,0.54,0.75,0.7058823529411765,0.2,0.46153846153846156
g,2.0,1.0,0.025,5.303463707969058,2.0,0.0,0.54,0.4,0.45454545454545453,0.25,0.46153846153846156
g,1.0,1.0,0.275,2.2392961240257137,2.0,1.0,0.54,0.75,0.45454545454545453,0.2,0.46153846153846156
g,1.0,2.0,0.275,4.02527037501568,2.0,0.0,0.54,0.75,0.7058823529411765,0.2,0.46153846153846156
g,2.0,2.0,0.05,1.3368389579700306,3.0,1.0,0.54,0.4,0.7058823529411765,0.6,0.6296296296296297
g,2.0,1.0,0.2,1.302795291005168,2.0,0.0,0.54,0.4,0.45454545454545453,0.3333333333333333,0.46153846153846156
g,1.0,1.0,0.175,2.015407792001497,2.0,1.0,0.54,0.75,0.45454545454545453,1.0,0.46153846153846156
g,1.0,1.0,0.1,1.2456305410014463,3.0,1.0,0.54,0.75,0.45454545454545453,0.5,0.6296296296296297
g,2.0,2.0,0.1,1.8186927079805173,3.0,1.0,0.54,0.4,0.7058823529411765,0.5,0.6296296296296297
g,1.0,1.0,0.475,0.6369030000059865,4.0,1.0,0.54,0.75,0.45454545454545453,1.0,0.6
g,1.0,1.0,0.5,3.091284250025637,3.0,1.0,0.54,0.75,0.45454545454545453,1.0,0.6296296296296297
g,1.0,1.0,0.375,1.378865207952913,3.0,1.0,0.54,0.75,0.45454545454545453,1.0,0.6296296296296297
g,1.0,1.0,0.125,0.8954469989985228,3.0,1.0,0.54,0.75,0.45454545454545453,0.3333333333333333,0.6296296296296297
g,2.0,1.0,0.25,2.146446415979881,3.0,0.0,0.54,0.4,0.45454545454545453,0.75,0.6296296296296297
g,1.0,1.0,0.075,1.508526958001312,3.0,1.0,0.54,0.75,0.45454545454545453,0.75,0.6296296296296297
g,2.0,1.0,0.225,1.5700000829529015,4.0,0.0,0.54,0.4,0.45454545454545453,0.0,0.6
g,1.0,1.0,0.45,1.6115584580111315,2.0,1.0,0.54,0.75,0.45454545454545453,0.5,0.46153846153846156
g,2.0,1.0,0.025,1.7709379159496166,3.0,0.0,0.54,0.4,0.45454545454545453,0.25,0.6296296296296297
g,2.0,1.0,0.1,4.217750333016738,3.0,0.0,0.54,0.4,0.45454545454545453,0.5,0.6296296296296297
g,2.0,2.0,0.35,2.0652476659743115,3.0,1.0,0.54,0.4,0.7058823529411765,1.0,0.6296296296296297
g,1.0,1.0,0.075,6.277132874995004,3.0,1.0,0.54,0.75,0.45454545454545453,0.75,0.6296296296296297
g,1.0,2.0,0.275,1.2955150829511697,3.0,0.0,0.54,0.75,0.7058823529411765,0.2,0.6296296296296297
