participant,correct_resp,resp,stim_interval,rt,vivid_report,correct,participant_hr,stim_hr,resp_hr,dur_hr,viv_hr
gr,1.0,1.0,0.325,1.2192564999568276,4,1.0,0.7391304347826086,0.95,0.6333333333333333,1.0,0.6153846153846154
gr,2.0,2.0,0.375,1.63495574897388,1,1.0,0.7391304347826086,0.5769230769230769,0.9375,1.0,0.3333333333333333
gr,2.0,2.0,0.425,2.1844552910188213,3,1.0,0.7391304347826086,0.5769230769230769,0.9375,1.0,0.8333333333333334
gr,2.0,1.0,0.05,3.8112669569673017,1,0.0,0.7391304347826086,0.5769230769230769,0.6333333333333333,0.0,0.3333333333333333
gr,2.0,2.0,0.375,0.7642872500000522,4,1.0,0.7391304347826086,0.5769230769230769,0.9375,1.0,0.6153846153846154
gr,2.0,1.0,0.15,1.7198650410282426,1,0.0,0.7391304347826086,0.5769230769230769,0.6333333333333333,0.6666666666666666,0.3333333333333333
gr,2.0,1.0,0.4,0.4795521660125814,3,0.0,0.7391304347826086,0.5769230769230769,0.6333333333333333,0.75,0.8333333333333334
gr,2.0,1.0,0.05,7.686698333011009,4,0.0,0.7391304347826086,0.5769230769230769,0.6333333333333333,0.0,0.6153846153846154
gr,1.0,1.0,0.35,0.4020186660345644,5,1.0,0.7391304347826086,0.95,0.6333333333333333,1.0,0.8260869565217391
gr,1.0,1.0,0.4,0.4563410409609787,5,1.0,0.7391304347826086,0.95,0.6333333333333333,0.75,0.8260869565217391
gr,2.0,2.0,0.3,1.6501790410256945,4,1.0,0.7391304347826086,0.5769230769230769,0.9375,1.0,0.6153846153846154
gr,1.0,1.0,0.125,0.3697472909698263,5,1.0,0.7391304347826086,0.95,0.6333333333333333,0.5,0.8260869565217391
gr,1.0,1.0,0.075,0.4214337500161491,5,1.0,0.7391304347826086,0.95,0.6333333333333333,1.0,0.8260869565217391
gr,1.0,1.0,0.2,0.3273636240046471,5,1.0,0.7391304347826086,0.95,0.6333333333333333,1.0,0.8260869565217391
gr,2.0,2.0,0.175,0.6579742080066353,4,1.0,0.7391304347826086,0.5769230769230769,0.9375,1.0,0.6153846153846154
gr,1.0,1.0,0.1,0.4843744990066625,3,1.0,0.7391304347826086,0.95,0.6333333333333333,1.0,0.8333333333333334
gr,2.0,1.0,0.475,2.9197737489594147,4,0.0,0.7391304347826086,0.5769230769230769,0.6333333333333333,0.0,0.6153846153846154
gr,2.0,2.0,0.4,0.6844998320448212,5,1.0,0.7391304347826086,0.5769230769230769,0.9375,0.75,0.8260869565217391
gr,1.0,1.0,0.025,5.660993541008793,3,1.0,0.7391304347826086,0.95,0.6333333333333333,0.6666666666666666,0.8333333333333334
