participant,correct_resp,resp,stim_interval,rt,vivid_report,correct,participant_hr,stim_hr,resp_hr,dur_hr,viv_hr
h,1.0,1.0,0.2,0.0865140419919043,2,1.0,0.6666666666666666,0.75,0.5769230769230769,0.75,0.6363636363636364
h,2.0,1.0,0.475,2.5899946659919806,2,0.0,0.6666666666666666,0.6071428571428571,0.5769230769230769,0.3333333333333333,0.6363636363636364
h,1.0,1.0,0.05,1.3464393750182353,2,1.0,0.6666666666666666,0.75,0.5769230769230769,0.6666666666666666,0.6363636363636364
h,1.0,2.0,0.2,2.433327208040282,3,0.0,0.6666666666666666,0.75,0.7727272727272727,0.75,0.6470588235294118
h,1.0,1.0,0.35,1.6421094160177745,3,1.0,0.6666666666666666,0.75,0.5769230769230769,1.0,0.6470588235294118
h,2.0,1.0,0.45,3.3227983330143616,3,0.0,0.6666666666666666,0.6071428571428571,0.5769230769230769,0.5,0.6470588235294118
h,1.0,1.0,0.35,2.994486748997588,2,1.0,0.6666666666666666,0.75,0.5769230769230769,1.0,0.6363636363636364
h,2.0,2.0,0.325,3.453080790990498,3,1.0,0.6666666666666666,0.6071428571428571,0.7727272727272727,0.5,0.6470588235294118
h,1.0,1.0,0.225,1.2758654989884235,2,1.0,0.6666666666666666,0.75,0.5769230769230769,0.6666666666666666,0.6363636363636364
h,1.0,2.0,0.3,1.053058208024595,2,0.0,0.6666666666666666,0.75,0.7727272727272727,0.6,0.6363636363636364
h,2.0,1.0,0.3,1.8868311670375988,2,0.0,0.6666666666666666,0.6071428571428571,0.5769230769230769,0.6,0.6363636363636364
h,1.0,1.0,0.075,2.3576529159909114,1,1.0,0.6666666666666666,0.75,0.5769230769230769,0.5,0.5
h,1.0,2.0,0.4,1.1733324580127371,2,0.0,0.6666666666666666,0.75,0.7727272727272727,0.0,0.6363636363636364
h,2.0,1.0,0.475,2.101749207999092,2,0.0,0.6666666666666666,0.6071428571428571,0.5769230769230769,0.3333333333333333,0.6363636363636364
h,2.0,1.0,0.05,1.0129007499781435,1,0.0,0.6666666666666666,0.6071428571428571,0.5769230769230769,0.6666666666666666,0.5
h,2.0,2.0,0.2,0.7729000420076773,3,1.0,0.6666666666666666,0.6071428571428571,0.7727272727272727,0.75,0.6470588235294118
h,2.0,2.0,0.35,2.457086333015468,3,1.0,0.6666666666666666,0.6071428571428571,0.7727272727272727,1.0,0.6470588235294118
h,1.0,1.0,0.15,1.7754967489745468,2,1.0,0.6666666666666666,0.75,0.5769230769230769,0.75,0.6363636363636364
h,2.0,1.0,0.25,1.3435866669751704,3,0.0,0.6666666666666666,0.6071428571428571,0.5769230769230769,0.8,0.6470588235294118
h,1.0,1.0,0.25,2.055038125021383,2,1.0,0.6666666666666666,0.75,0.5769230769230769,0.8,0.6363636363636364
h,2.0,1.0,0.425,1.1579309160006233,3,0.0,0.6666666666666666,0.6071428571428571,0.5769230769230769,0.0,0.6470588235294118
h,1.0,2.0,0.15,1.6361445410293527,2,0.0,0.6666666666666666,0.75,0.7727272727272727,0.75,0.6363636363636364
h,2.0,1.0,0.45,0.6105516669922508,3,0.0,0.6666666666666666,0.6071428571428571,0.5769230769230769,0.5,0.6470588235294118
h,2.0,2.0,0.35,2.484514083014801,3,1.0,0.6666666666666666,0.6071428571428571,0.7727272727272727,1.0,0.6470588235294118
h,1.0,1.0,0.475,0.8490926240338013,4,1.0,0.6666666666666666,0.75,0.5769230769230769,0.3333333333333333,1.0
h,2.0,2.0,0.05,1.9447749580140223,2,1.0,0.6666666666666666,0.6071428571428571,0.7727272727272727,0.6666666666666666,0.6363636363636364
h,2.0,1.0,0.125,2.5127169159823097,1,0.0,0.6666666666666666,0.6071428571428571,0.5769230769230769,0.75,0.5
h,1.0,1.0,0.15,1.887847124016844,2,1.0,0.6666666666666666,0.75,0.5769230769230769,0.75,0.6363636363636364
h,2.0,1.0,0.075,1.2379474579938687,2,0.0,0.6666666666666666,0.6071428571428571,0.5769230769230769,0.5,0.6363636363636364
h,1.0,1.0,0.2,2.8730861239600927,2,1.0,0.6666666666666666,0.75,0.5769230769230769,0.75,0.6363636363636364
h,1.0,1.0,0.45,0.5368281239643693,4,1.0,0.6666666666666666,0.75,0.5769230769230769,0.5,1.0
h,1.0,1.0,0.125,2.6731761670089327,2,1.0,0.6666666666666666,0.75,0.5769230769230769,0.75,0.6363636363636364
h,1.0,1.0,0.3,3.9802587919984944,1,1.0,0.6666666666666666,0.75,0.5769230769230769,0.6,0.5
h,2.0,2.0,0.15,3.627844373986591,2,1.0,0.6666666666666666,0.6071428571428571,0.7727272727272727,0.75,0.6363636363636364
h,1.0,1.0,0.125,0.4220848749973811,4,1.0,0.6666666666666666,0.75,0.5769230769230769,0.75,1.0
h,2.0,2.0,0.25,0.9716775830020196,3,1.0,0.6666666666666666,0.6071428571428571,0.7727272727272727,0.8,0.6470588235294118
h,2.0,2.0,0.1,2.366381583036855,3,1.0,0.6666666666666666,0.6071428571428571,0.7727272727272727,1.0,0.6470588235294118
h,2.0,2.0,0.275,3.1416519160266034,2,1.0,0.6666666666666666,0.6071428571428571,0.7727272727272727,1.0,0.6363636363636364
h,2.0,2.0,0.225,1.3173460409743711,4,1.0,0.6666666666666666,0.6071428571428571,0.7727272727272727,0.6666666666666666,1.0
h,2.0,2.0,0.45,2.08514404197922,3,1.0,0.6666666666666666,0.6071428571428571,0.7727272727272727,0.5,0.6470588235294118
h,2.0,2.0,0.25,3.6974723750026897,3,1.0,0.6666666666666666,0.6071428571428571,0.7727272727272727,0.8,0.6470588235294118
h,2.0,2.0,0.25,0.7603353330050595,3,1.0,0.6666666666666666,0.6071428571428571,0.7727272727272727,0.8,0.6470588235294118
