participant,correct_resp,resp,stim_interval,rt,vivid_report,correct,participant_hr,stim_hr,resp_hr,dur_hr,viv_hr
s,1.0,1.0,0.225,0.4532844999921508,2.0,1.0,0.66,0.7037037037037037,0.6785714285714286,0.6666666666666666,0.5
s,1.0,2.0,0.4,1.6997740420047194,2.0,0.0,0.66,0.7037037037037037,0.6363636363636364,0.6,0.5
s,1.0,1.0,0.1,1.2240150420111604,2.0,1.0,0.66,0.7037037037037037,0.6785714285714286,0.6666666666666666,0.5
s,1.0,2.0,0.1,0.9750789160025306,2.0,0.0,0.66,0.7037037037037037,0.6363636363636364,0.6666666666666666,0.5
s,2.0,2.0,0.025,1.2226241659955122,3.0,1.0,0.66,0.6086956521739131,0.6363636363636364,1.0,0.75
s,2.0,2.0,0.225,1.456728250021115,3.0,1.0,0.66,0.6086956521739131,0.6363636363636364,0.6666666666666666,0.75
s,2.0,2.0,0.45,1.060242958017625,4.0,1.0,0.66,0.6086956521739131,0.6363636363636364,1.0,0.8888888888888888
s,1.0,2.0,0.2,0.9759617079980673,3.0,0.0,0.66,0.7037037037037037,0.6363636363636364,0.5,0.75
s,1.0,1.0,0.025,1.7451440829900091,2.0,1.0,0.66,0.7037037037037037,0.6785714285714286,1.0,0.5
s,2.0,2.0,0.35,1.018751333002001,4.0,1.0,0.66,0.6086956521739131,0.6363636363636364,1.0,0.8888888888888888
s,1.0,1.0,0.2,2.5603512920206413,2.0,1.0,0.66,0.7037037037037037,0.6785714285714286,0.5,0.5
s,1.0,1.0,0.05,0.7754428330226801,2.0,1.0,0.66,0.7037037037037037,0.6785714285714286,0.75,0.5
s,1.0,1.0,0.15,2.561714290990494,3.0,1.0,0.66,0.7037037037037037,0.6785714285714286,0.6666666666666666,0.75
s,2.0,2.0,0.125,1.241942749998998,3.0,1.0,0.66,0.6086956521739131,0.6363636363636364,0.8,0.75
s,2.0,1.0,0.325,2.5017925419961102,3.0,0.0,0.66,0.6086956521739131,0.6785714285714286,0.0,0.75
s,2.0,1.0,0.225,2.0043107079691254,3.0,0.0,0.66,0.6086956521739131,0.6785714285714286,0.6666666666666666,0.75
s,2.0,2.0,0.475,0.5311214579851367,3.0,1.0,0.66,0.6086956521739131,0.6363636363636364,1.0,0.75
s,1.0,2.0,0.15,2.7408203749801032,2.0,0.0,0.66,0.7037037037037037,0.6363636363636364,0.6666666666666666,0.5
s,1.0,1.0,0.125,0.713355915970169,3.0,1.0,0.66,0.7037037037037037,0.6785714285714286,0.8,0.75
s,1.0,1.0,0.4,0.784381541016046,4.0,1.0,0.66,0.7037037037037037,0.6785714285714286,0.6,0.8888888888888888
s,1.0,1.0,0.175,0.8710249160067178,3.0,1.0,0.66,0.7037037037037037,0.6785714285714286,0.3333333333333333,0.75
s,1.0,1.0,0.475,0.5767410419648513,4.0,1.0,0.66,0.7037037037037037,0.6785714285714286,1.0,0.8888888888888888
s,1.0,1.0,0.375,0.6132114159991033,4.0,1.0,0.66,0.7037037037037037,0.6785714285714286,1.0,0.8888888888888888
s,1.0,2.0,0.175,3.126188041991554,3.0,0.0,0.66,0.7037037037037037,0.6363636363636364,0.3333333333333333,0.75
s,2.0,2.0,0.05,1.2479617079952732,3.0,1.0,0.66,0.6086956521739131,0.6363636363636364,0.75,0.75
s,2.0,2.0,0.125,2.0953506659716368,2.0,1.0,0.66,0.6086956521739131,0.6363636363636364,0.8,0.5
s,2.0,1.0,0.125,7.332868625002447,3.0,0.0,0.66,0.6086956521739131,0.6785714285714286,0.8,0.75
s,1.0,2.0,0.05,1.270484457956627,1.0,0.0,0.66,0.7037037037037037,0.6363636363636364,0.75,0.0
s,1.0,2.0,0.275,1.3112611250253394,2.0,0.0,0.66,0.7037037037037037,0.6363636363636364,0.5,0.5
s,2.0,1.0,0.325,0.7019539579632692,2.0,0.0,0.66,0.6086956521739131,0.6785714285714286,0.0,0.5
s,1.0,1.0,0.15,0.6373665829887614,3.0,1.0,0.66,0.7037037037037037,0.6785714285714286,0.6666666666666666,0.75
s,2.0,1.0,0.3,0.4395015829941258,2.0,0.0,0.66,0.6086956521739131,0.6785714285714286,0.0,0.5
s,2.0,2.0,0.275,0.7067971660289913,3.0,1.0,0.66,0.6086956521739131,0.6363636363636364,0.5,0.75
s,2.0,1.0,0.325,1.381797208043281,2.0,0.0,0.66,0.6086956521739131,0.6785714285714286,0.0,0.5
s,1.0,1.0,0.1,0.5756511240033433,4.0,1.0,0.66,0.7037037037037037,0.6785714285714286,0.6666666666666666,0.8888888888888888
s,2.0,2.0,0.35,0.7557172079687007,2.0,1.0,0.66,0.6086956521739131,0.6363636363636364,1.0,0.5
s,2.0,2.0,0.35,0.7939227909664623,2.0,1.0,0.66,0.6086956521739131,0.6363636363636364,1.0,0.5
s,2.0,1.0,0.175,1.5702657080255449,2.0,0.0,0.66,0.6086956521739131,0.6785714285714286,0.3333333333333333,0.5
s,2.0,2.0,0.5,1.1449119580211118,4.0,1.0,0.66,0.6086956521739131,0.6363636363636364,1.0,0.8888888888888888
s,1.0,1.0,0.475,0.5977546659996733,2.0,1.0,0.66,0.7037037037037037,0.6785714285714286,1.0,0.5
s,1.0,1.0,0.25,0.8289787080138922,3.0,1.0,0.66,0.7037037037037037,0.6785714285714286,1.0,0.75
s,2.0,2.0,0.2,0.8430963330320083,4.0,1.0,0.66,0.6086956521739131,0.6363636363636364,0.5,0.8888888888888888
s,1.0,1.0,0.4,0.697578291001264,3.0,1.0,0.66,0.7037037037037037,0.6785714285714286,0.6,0.75
s,1.0,2.0,0.2,0.5782838740269653,4.0,0.0,0.66,0.7037037037037037,0.6363636363636364,0.5,0.8888888888888888
s,2.0,2.0,0.125,0.7457476659910753,3.0,1.0,0.66,0.6086956521739131,0.6363636363636364,0.8,0.75
s,2.0,1.0,0.4,0.4639167499844916,2.0,0.0,0.66,0.6086956521739131,0.6785714285714286,0.6,0.5
s,1.0,1.0,0.05,1.2823885830002837,2.0,1.0,0.66,0.7037037037037037,0.6785714285714286,0.75,0.5
s,2.0,1.0,0.2,1.9370984999695795,2.0,0.0,0.66,0.6086956521739131,0.6785714285714286,0.5,0.5
s,1.0,1.0,0.2,0.8597594579914585,3.0,1.0,0.66,0.7037037037037037,0.6785714285714286,0.5,0.75
s,1.0,1.0,0.4,1.0612472500069998,3.0,1.0,0.66,0.7037037037037037,0.6785714285714286,0.6,0.75
